Occupation,Lifespans
Civil service,"[63, 83, 72, 81, 51, 88, 62, 71, 84, 84, 81, 82, 76, 71, 73, 76, 68, 89, 92, 92, 62, 88, 46, 79, 99, 52, 70, 80, 50, 75, 95, 68, 63, 83, 69, 62, 59, 90, 77, 95, 70, 76, 66, 92, 94, 63, 53, 63, 86, 47, 65, 84, 77, 89, 79, 64, 75, 83, 67, 65, 80, 77, 82, 73, 95, 73, 67, 76, 58, 98, 71, 76, 58, 81, 50, 64, 68, 69, 95, 63, 37, 64, 65, 73, 84, 82, 91, 95, 79, 28, 83, 91, 89, 82, 78, 73, 73, 89, 61, 75, 64, 84, 99, 47, 68, 89, 91, 57, 58, 78, 108, 67, 82, 59, 87]"
Author,"[30, 78, 71, 82, 52, 57, 85, 76, 61, 85, 72, 78, 65, 60, 67, 92, 87, 83, 84, 75, 0, 59, 52, 64, 81, 61, 85, 84, 81, 76, 92, 77, 64, 57, 96, 39, 77, 82, 68, 78, 57, 79, 90, 75, 43, 56, 65, 64, 94, 97, 70, 92, 75, 67, 83, 101, 92, 81, 94, 91, 78, 86, 22, 83, 92, 69, 92, 88, 91, 76, 77, 86, 85, 70, 80, 55, 65, 79, 78, 86, 78, 75, 70, 74, 93, 41, 67, 68, 66, 88, 54, 81, 88, 82, 99, 63, 89, 48, 54, 73, 54, 96, 82, 93, 84, 74, 91, 84, 78, 74, 64, 67, 58, 89, 80, 54, 75, 50, 51, 73, 36, 66, 69, 65, 72, 86, 78, 75, 82, 112, 77, 62, 50, 75, 90, 79, 75, 67, 39, 74, 43, 50, 86, 64, 56, 64, 73, 85, 71, 83, 83, 81, 69, 86, 70, 70, 83, 64, 39, 66, 84, 95, 99, 65, 76, 94, 69, 72, 84, 91, 71, 79, 90, 62, 77, 61, 80, 90, 72, 90, 57, 83, 83, 90, 94, 91, 69, 83, 47, 76, 88, 68, 77, 73, 83, 71, 56, 66, 60, 39, 59, 82, 63, 79, 99, 83, 64, 68, 55, 80, 78, 94, 95, 76, 66, 68, 93, 81, 90, 63, 86, 94, 71, 83, 63, 91, 78, 79, 35, 92, 76, 77, 83, 70, 73, 81, 82, 59, 84, 85, 68, 68, 88, 62, 33, 58, 60, 58, 86, 72, 98, 68, 87, 62, 74, 68, 74, 86, 91, 85, 77, 65, 70, 75, 61, 99, 66, 79, 87, 80, 62, 57, 74, 83, 81, 73, 49, 61, 91, 94, 78, 79, 80, 92, 41, 73, 74, 95, 79, 94, 102, 89, 73, 59, 67, 83, 63, 79, 83, 67, 84, 80, 71, 77, 96, 87, 61, 80, 89, 74, 57, 88, 70, 67, 76, 67, 60, 61, 87, 82, 81, 61, 85, 72, 90, 66, 63, 74, 57, 93, 89, 57, 48, 81, 45, 69, 60, 52, 75, 79, 94, 68, 71, 55, 66, 86, 30, 79, 72, 44, 84, 74, 72, 69, 80, 90, 74, 91, 88, 76, 73, 75, 72, 73, 74, 76, 91, 88, 86, 75, 86, 51, 82, 65, 83, 106, 90, 84, 88, 81, 91, 62, 95, 82, 62, 82, 80, 70, 48, 40, 73, 66, 76, 97, 93, 66, 79, 93, 53, 93, 27, 66, 93, 45, 76, 94, 69, 61, 92, 60, 83, 65, 60, 88, 57, 76, 64, 73, 87, 76, 73, 77, 60, 58, 87, 77, 72, 92, 83, 66, 100, 88, 54, 61, 69, 51, 72, 76, 79, 95, 68, 54, 31, 50, 79, 89, 58, 72, 78, 79, 32, 102, 82, 52, 81, 58, 61, 65, 84]"
Luthier,"[80, 82, 57, 74, 84, 69, 62, 80, 78, 77, 79, 72, 56, 93, 69, 78, 70, 67, 85]"
Lawyer,"[61, 51, 69, 88, 63, 73, 64, 51, 59, 33, 60, 92, 41, 55, 68, 61, 83, 91, 95, 68, 66, 70, 78, 69, 33, 93, 64, 57, 82, 59, 91, 70, 51, 69, 73, 81, 82, 63, 88, 57, 86, 46, 86, 84, 95, 53, 54, 84, 68, 74, 58, 45, 81, 72, 51, 85, 80, 72, 78, 88, 52, 82, 51, 86, 90, 90, 101, 74, 50, 69, 74, 65, 84, 73, 78, 74, 51, 86, 84, 47, 87, 95, 72, 59, 85, 87, 76, 75, 76, 52, 86, 68, 85, 91, 78, 72, 91, 40, 77, 81, 79, 69, 49, 85, 86, 62, 68, 85, 52, 88, 85, 82, 79, 94, 79, 83, 92, 45, 88, 84, 77, 76, 84, 67, 82, 73, 79, 88, 84, 68, 52, 82, 78, 66, 93, 94, 72, 49, 58, 77, 53, 101, 95, 69, 81, 69, 98, 92, 82, 62, 53, 57, 74, 69, 89, 65, 78, 87, 64, 72, 36, 80, 62, 83, 85, 69, 81, 71, 56, 73, 61, 72, 76, 71, 77, 43, 81, 67, 83, 60, 83, 62, 81, 68, 62, 81, 84, 75, 77, 59, 72, 62, 79, 54, 60, 94, 73, 70, 61, 64, 55, 56, 78, 77, 83, 85, 92, 81, 84, 72, 75, 76, 84, 71, 68, 83, 82, 65, 72, 61, 76, 85, 67, 83, 47, 88, 90, 80, 58, 95, 90, 94, 76, 74, 69, 90, 79, 75, 76, 59, 81, 87, 76, 74, 42, 52, 75, 55, 72, 98, 85, 76, 77, 75, 69, 85, 70, 81, 78, 74, 90, 56, 79, 65, 92, 49, 86, 54, 76, 75, 58, 76, 78, 96, 89, 88, 67, 93, 97, 74, 91, 85, 80, 50, 81, 38, 67, 55, 69, 68, 57, 90, 78, 68, 62, 88, 82, 61, 92, 85, 81, 76, 86, 83, 78, 93, 94, 53, 79, 76, 88, 77, 80, 86, 79, 82, 81, 63, 62, 2005, 55, 53, 60, 81, 62, 82, 73, 94, 44, 92, 86, 63, 71, 71, 55, 63, 78, 76, 72, 61, 78, 64, 71, 68, 73, 65, 94, 59, 83, 57, 69, 59, 73, 88, 77, 71, 70, 71, 42, 67, 96, 59, 60, 96, 78, 68, 65, 95, 84, 55, 72, 51, 70, 81, 93, 85, 73, 72, 90, 76, 78, 68, 81, 82, 76, 82, 87, 77, 69, 82, 59, 88, 68, 71, 84, 54, 73, 67, 90, 85, 88, 81, 92, 75, 65, 68, 76, 77, 69, 86, 72, 53, 67, 73, 89, 85, 68, 59, 83, 73, 35, 64, 55, 59, 59, 80, 89, 70, 70, 89, 41, 49, 59, 78, 77, 75, 65, 28, 89, 75, 66, 99, 83, 88, 64, 86, 72, 58, 63, 55, 91, 67, 70, 79, 71, 74, 76, 64, 91, 87, 92, 70, 42, 80, 82, 82, 74, 78, 66, 67, 78, 82, 70, 75, 70, 62, 60, 73, 49, 74, 70, 71, 88, 82, 64, 76, 65, 63, 84, 56, 98, 64, 86, 82, 85, 64, 94, 61, 70, 55, 56, 87, 84, 79, 78, 84, 65, 55, 99, 68, 75, 82, 101, 70, 76, 78, 73, 57, 75, 77, 66, 66, 90, 64, 65, 57, 70, 73, 83, 76, 73, 95, 107, 82, 67, 57, 88, 65, 87, 60, 70, 78, 76, 37, 94, 81, 72, 73, 70, 81, 60, 72, 72, 76, 75, 81, 98, 80, 83, 87, 68, 87, 89, 49, 86, 87, 62, 35, 77, 81, 78, 78, 71, 85, 70, 59, 80, 98, 71, 86, 97, 35, 97, 81, 68, 53, 89, 70, 87, 84, 54, 59, 83, 82, 71, 93, 99, 82, 88, 84, 73, 85, 35, 81, 61, 89, 65, 54, 80, 81, 79, 61, 67, 94, 86, 71, 69, 53, 83, 81, 94, 73, 49, 68, 61, 72, 87, 50, 81, 51, 76, 83, 59, 87, 75, 66, 74, 75, 92, 84, 87, 79, 87, 87, 60, 94, 52, 35, 75, 88, 86, 60, 84, 58, 79, 69, 78, 62, 82, 94, 95, 68, 69, 78, 56, 81, 76, 80, 79, 87, 56, 94, 84, 51, 81, 88, 74, 52, 77, 106, 57, 66, 75, 81, 59, 69, 47, 78, 77, 81, 92, 84, 91, 69, 79, 78, 53, 52, 60, 68, 82, 65, 79, 72, 45, 83, 35, 71, 91, 47, 55, 72, 80, 71, 62, 69, 89, 64, 82, 88, 81, 51, 74, 62, 61, 72, 74, 62, 87, 76, 80, 72, 87, 64, 35, 65, 37, 74, 73, 50, 72, 82, 77, 83, 68, 91, 59, 78, 86, 81, 65, 67, 49, 83, 75, 61, 42, 79, 88, 46, 67, 82, 71, 75, 65, 87, 92, 66, 74, 61, 60, 78, 77, 88, 67, 87, 48, 84, 58, 79, 84, 84, 58, 64, 80, 71, 68, 81, 79]"
Writer,"[61, 71, 80, 76, 80, 61, 82, 65, 40, 85, 79, 82, 44, 73, 87, 69, 84, 100, 77, 88, 67, 70, 89, 90, 55, 85, 56, 72, 50, 97, 81, 76, 98, 60, 81, 70, 74, 84, 75, 91, 64, 82, 75, 105, 70, 61, 65, 56, 73, 87, 68, 75, 79, 84, 56, 65, 60, 47, 74, 82, 67, 100, 80, 67, 56, 85, 54, 76, 80, 88, 52, 66, 76, 54, 63, 79, 70, 45, 86, 57, 64, 27, 72, 81, 83, 48, 65, 73, 75, 60, 59, 56, 71, 86, 35, 56, 66, 84, 85, 50, 73, 61, 56, 82, 54, 74, 84, 88, 68, 71, 76, 61, 98, 65, 77, 67, 54, 69, 91, 77, 84, 65, 86, 84, 90, 71, 71, 62, 80, 72, 21, 82, 81, 45, 70, 87, 86, 83, 70, 58, 68, 84, 67, 90, 40, 60, 75, 70, 91, 62, 76, 79, 58, 48, 66, 81, 78, 78, 83, 49, 49, 82, 66, 64, 86, 47, 50, 86, 62, 86, 74, 79, 70, 81, 82, 66, 87, 70, 51, 95, 83, 94, 83, 63, 55, 89, 98, 88, 81, 57, 93, 88, 74, 84, 62, 84, 77, 64, 73, 50, 61, 71, 95, 68, 84, 97, 65, 31, 72, 57, 77, 63, 81, 90, 81, 73, 72, 101, 40, 66, 47, 78, 83, 64, 71, 57, 63, 85, 73, 85, 63, 71, 61, 89, 74, 67, 54, 77, 68, 69, 84, 49, 68, 62, 90, 85, 79, 71, 74, 55, 83, 87, 61, 85, 89, 58, 76, 60, 89, 45, 68, 63, 70, 25, 79, 59, 66, 98, 95, 82, 90, 50, 81, 52, 66, 62, 66, 43, 61, 79, 63, 33, 79, 37, 92, 69, 66, 56, 60, 89, 76, 71, 86, 86, 68, 89, 61, 84, 59, 99, 88, 69, 78, 82, 89, 61, 91, 70, 49, 76, 42, 81, 67, 74, 33, 65, 62, 62, 63, 78, 69, 83, 68]"
Pharmacist,"[60, 50, 94, 65, 65, 63, 80, 67, 44, 44, 57, 80, 51, 77, 50, 78, 73, 67, 86, 77, 79, 81, 58, 78, 84, 77, 78, 88, 79, 84, 78, 56, 80, 67, 87]"
Petroleum industry,"[60, 83, 57, 68, 76, 93, 70]"
Kerosene lamp,[60]
Archbishop,"[69, 81, 88, 75, 79, 71, 67]"
Confidence trick,"[64, 57, 38, 30, 58, 52, 68, 57, 53]"
Doctor (title),"[85, 64, 25, 60]"
Jurist,"[61, 60, 78, 40, 88, 91, 82, 61, 82, 84, 67, 90, 60, 76, 51, 87, 67, 81, 80, 82, 81, 56, 87, 53, 85, 79, 80, 80, 78, 69, 1391, 77, 74, 78, 90, 56, 78, 87, 87, 48, 59, 88, 79, 79, 52, 79, 87, 75, 60, 90, 43, 88, 73, 95, 85, 81, 81, 53, 52, 92, 108, 83, 89, 85, 77, 88]"
Gestapo,[45]
Graphic design,"[65, 82, 75]"
Painting,"[65, 65, 26, 38, 60, 65, 73, 86, 69, 75, 51, 93, 66, 49, 98, 81, 58, 92, 76, 65, 71, 90, -27, 62, 62, 85, 87, 53, 51, 47, 82, 82, 81, 84, 73, 42, 80, 63, 67, 75, 78, 47, 58, 84, 81, 90, 68, 77, 67, 73, 79, 64, 60, 77, 90, 62, 75, 81, 79, 68, 75, 43, 89, 66, 63, 86, 80, 102, 70, 73, 90, 74, 26, 71, 50, 71, 89, 78, 63, 95, 74, 57, 93, 65, 66, 74, 85, 84, 70, 66, 61, 63, 78, 62, 60, 89, 78, 39, 79, 69, 95, 83, 63, 83, 42, 51, 95, 86, 68, 70, 57, 72, 68, 26, 80, 82, 51, 87, 80, 57, 61, 96, 61, 75, 99, 85, 66, 44, 40, 73, 79, 76, 61, 71, 51, 60, 94, 87, 71, 72, 71, 90, 57, 67, 91, 90, 46, 43, 41, 67, 82, 33, 75, 54, 74, 60, 56, 54, 87, 59, 99, 67, 76, 69, 90, 75, 71, 61, 48, 65, 106, 57, 72, 78, 86, 97, 48, 59, 64, 86, 89, 69, 58, 28, 86, 67, 49, 69, 30, 68, 94, 80, 63, 37, 80, 65, 84, 52, 76, 78, 58, 72, 80, 74, 64, 84, 45, 72, 54, 65, 81, 50, 95, 65, 81, 56, 90, 67, 71, 48, 66]"
Figure skating,"[60, 92, 78, 51]"
Cinematographer,"[89, 70, 73, 52, 91, 1971, 84, 54, 60, 79, 86, 81, 68, 52, 76, 73, 64, 61, 90, 56, 61, 78, 92, 80, 83, 86, 74, 86, 72, 90, 94, 34, 57, 77, 74, 77, 46, 80, 73, 53, 72, 94, 44, 80, 73, 72, 87, 68, 40, 89, 91, 73, 75, 63, 80, 49, 65, 84, 80, 84, 65, 67, 43, 63, 83, 69, 63, 83, 76, 85, 93, 101, 99, 72, 74, 65, 67, 79, 75, 68, 77, 74, 66, 72, 92, 78, 36, 90, 66, 73, 55, 60, 86, 89, 58, 90, 50, 93, 80, 63, 77, 38, 69, 79, 82, 43, 79, 87, 72, 71, 84, 96, 52, 83, 26, 67, 55, 95, 57, 72, 73, 66, 88, 87, 64, 91, 68, 61, 81, 49, 91, 93, 57, 89, 62, 94, 70, 93, 68, 76, 76, 76, 88, 75, 64, 87, 87, 83, 64, 58, 59, 71, 70, 89, 82, 82, 93, 79, 72, 61, 69, 65, 99, 66, 72, 73, 62, 82, 74, 71, 80, 63, 84, 52, 72, 73, 79, -1885, 71, 83, 76, 81, 84, 95, 76, 83, 70, 85, 63, 66, 67, 97, 59, 55, 83, 72, 84, 81, 72, 83, 62, 81, 78, 66, 54, 71, 82, 87, 58, 71, 85, 90, 82, 83, 62, 75, 56, 65, 79, 80, 86, 80, 87, 74, 76, 57, 75, 85, 79, 57, 72, 53, 73, 65, 80, 82, 73, 78, 74, 86, 47, 65, 76, 79, 69, 87, 54, 43, 93, 69, 75, 73, 88, 70, 87, 76, 86, 86, 51, 76, 93, 77, 60, 97, 69, 60, 93, 67, 87, 79, 79, 64, 101, 80, 90, 80, 71, 83, 73, 95, 80, 89, 85, 75, 82, 64, 45, 81, 84, 69, 41, 82, 82, 59, 65, 73, 75, 52, 78, 82, 72, 57, 72, 74, 75, 99, 87, 52, 34, 63, 54, 74, 83, 68, 84, 92, 64, 86, 61, 58, 89, 70, 71, 54, 39, 59, 81, 80, 57, 80, 99, 86, 92, 66, 71, 83, 60, 95, 44, 82, 92, 84, 66, 74, 57, 51, 74, 96, 83, 92, 72, 80, 89, 74, 74, 62]"
Animator,"[53, 86, 82, 89, 77, 60, 81, 83, 71, 82, 87, 57, 57, 73, 64, 59, 92, 34, 89, 89, 95, 77, 85, 90, 88, 70, 75, 85, 81, 94, 69, 94, 63, 65, 99, 84, 90, 74, 93, 67, 59, 80, 72, 94, 64, 90, 75, 48, 67, 89, 78, 66, 82, 83, 68, 89, 90, 74, 73, 90, 85, 92, 95, 82, 95, 88, 77, 82, 37, 76, 79, 77, 91, 73, 81, 77, 82, 72, 95, 96, 92, 64, 71, 80, 100, 55, 73]"
Art director,"[53, 66, 70, 82, 65, 77, 63, 82, 79, 89, 78, 86, 78, 69, 85, 88, 77, 44, 51, 86, 76, 80, 76, 54, 75, 85, 63, 63, 83, 39, 65, 76, 49, -3, 65, 66, 89, 86, 61, 55, 81, 60, 57, 62, 90, 80, 84, 58, 58, 94, 71, 67, 79, 57, 55, 60, 83, 68, 76, 85, 71, 76, 37, 85, 57, 53, 88, 72, 79, 73, 81, 74, 73, 86, 58, 94, 76, 92, 74, 78, 67, 72, 75, 90, 99, 73, 67, 65, 81, 72, 77, 54, 93, 68, 56, 82, 85, 74, 86, 75, 87, 72, 58, 81, 74, 101, 76, 69, 100, 60, 73, 49, 88, 70, 89, 69, 86, 87, 72, 49, 97, 98, 57, 76, 42, 89, 76, 56, 66, 74, 56, 76, 62, 80, 72, 64, 71, 72, 94, 64, 82, 73, 82, 64, 73, 55, 80, 89, 80, 88, 74, 66, 74, 36, 74, 91, 68, 59, 44, 67, 85, 79, 62, 55, 53, 89, 88, 90, 78, 94, 76, 36, 58, 84, 60, 83, 86, 79, 62, 84, 81, 80, 72, 49, 50, 92, 82, 80, 68, 75, 55, 68, 61, 61, 66, 91, 81, 86, 74, 73, 78, 81, 92, 85, 81, 59, 65, 73, 73, 72, 82, 70, 81, 87, 84, 97, 83, 82, 66, 91, 80, 68, 70, 78, 87, 100, 92, 77, 70, 89, 84, 92, 87, 76, 63, 54, 57, 95, 68, 73, 81, 42, 78, 1770, 71, 75, 68, 97, 84, 77, 84, 62, 81, 63, 73, 75, 68, 83, 46, 72, 69, 64, 61, 84, 71, 87, 71]"
Novelist,"[71, 95, 88, 71, 42, 72, 53, 72, 80, 84, 78, 88, 67, 87, 70, 82, 76, 67, 67, 47, 92, 58, 86, 76, 84, 67, 70, 88, 90, 68, 88, 75, 75, 60, 43, 83, 86, 76, 75, 89, 83, 57, 77, 103, 90, 75, 86, 84, 71, 91, 84, 90, 37, 44, 61, 65, 69, 59, 79, 71, 71, 76, 80, 43, 56, 27, 69, 55, 70, 74, 61, 74, 85, 76, 82, 50, 60, 45, 86, 87, 66, 46, 61, 21, 55, 52, 88, 95, 70, 85, 58, 87, 71, 83, 83, 0, 80, 69, 56, 37, 83, 73, 76, 73, 62, 72, 68, 73, 91, 88, 78, 52, 86, 96, 51, 73, 85, 84, 47, 76, 74, 67, 83, 88, 69, 78, 74, 70, 83, 76, 42, 82, 59, 76, 75, 65, 30, 75, 80, 77, 67, 88, 92, 83, 75, 62, 84, 96, 82, 68, 84, 65, 63, 46, 54, 73, 73, 53, 60, 81, 79, 80, 69, 55, 68, 64, 55, 79, 38, 82, 76, 76, 81, 54, 87, 72, 63, 80, 51, 64, 84, 83, 62, 86, 48, 81, 61, 89, 72, 70, 46, 75, 62, 94, 65, 42, 67, 95, 88, 76, 88, 37, 66, 65, 48, 65, 89, 72, 76, 52, 76, 80, 86, 93, 64, 82, 63, 83, 65, 82, 68, 93, 63, 71, 67, 66, 73, 79, 79, 88, 64, 52, 80, 93, 80, 67, 71, 71, 84, 65, 62, 71, 56, 101, 88, 73, 92, 56, 61, 71, 73, 61, 49, 95, 90]"
Aizu,[77]
Imperial Japanese Army,[77]
Photojournalism,"[76, -1904, 71, 82, 55, 45, 64, 86, 30, 97, 72, 80, 60, 80, 84, 94, 82, 85, 92, 59, 75, 41, 97, 82, 85, 93, 66, 97, 86, 66, 97, 71, 99, 68, 75, 93, 71, 87, 51, 71]"
Surgeon,"[82, 59, 77, 73, 93, 43, 71, 93, 80, 64, 76, 74, 67, 88, 93, 66, 58, 69, 81, 46, 76, 41, 69, 78, 60, 77, 58, 65, 64, 87, 50, 67, 85, 91, 74, 68, 73, 75, 60, 69, 77, 34, 81, 81, 63, 88, 80, 72, 53, 87, 71, 89, 78, 86, 50, 72, 69, 80, 69, 82, 80, 80, 74, 87, 68, 81, 62, 89, 54, 70, 92, 72, 74, 75, 63, 87, 87, 83, 33, 75, 64, 63, 65]"
Urban planning,"[61, 89, 54, 82, 93, 88, 66, 84]"
Civil engineer,"[61, 31, 48, 76, 82, 79, 72, 92, 76, 81, 84, 45, 69, 54, 71, 78, 87, 83, 64, 48, 53, 88, 83, 89, 80, 75, 75, 68, 77, 68, 71, 87, 65, 77, 73, 88, 78, 65, 41, 67, 76, 90, 50, 60, 88, 79, 68, 83, 84, 59, 86, 64, 72, 79, 95, 88, 67, 82, 57, 46, 64, 74, 85, 83, 68, 43, 72, 114, 57, 81, 96, 42, 80, 66, 61, 87, 71, 56]"
Ottoman Empire,"[104, 91]"
Folkloristics,"[49, 90, 83, 56, 81, 86, 54, 71, 56, 62, 91, 93, 94, 67, 100, 67, 53, 36, 58, 92, 90, 89, 66, 74, 91, 82, 67]"
Folklor,"[50, 69]"
Photographer,"[99, 92, 55, 91, 71, 82, 84, 59, 69, 39, 76, 92, 79, 85, 39, 81, 70, 64, 66, 94, 91, 94, 80, 97, 64, 69, 64, 67, 78, 65, 72, 49, 65, 67, 84, 95, 75, 84, 76, 73, 83, 68, 88, 69, 77, 54, 58, 76, 35, 51, 79, 71, 63, 61, 56, 92, 83, 35, 84, 71, 66, 85, 95, 26, 69, 85, 88, 84, 91, 67, 60, 76, 75, 66, 83, 69, 98, 82, 72, 27, 95, 73, 69, 60, 93, 92, 101, 81, 57, 87, 81, 74, 66, 73, 63, 82, 80, 67, 67, 52, 81, 98, 61, 87, 54, 95, 58, 84, 72, 88, 60, 39, 54, 78, 71, 58, 80, 60, 69, 99, 52, 65, 73, 85, 99, 45, 62, 35, 70, 83, 95, 75, 85, 88, 64, 86, 80, 87, 59, 95, 63, 103, 80, 95, 85, 81, 95, 60, 88, 82, 81, 62, 70, 77, 42, 79, 85, 73, 80, 65, 62, 57, 39, 95, 80, 82, 67, 98, 90]"
Coloratura soprano,"[68, 76]"
Film producer,"[82, 98, 72, 82, 75, 71, 82, 70, 83, 76, 66, 40, 72, 82, 84, 53, 45, 64, 89, 78, 91, 93, 71, 78, 80, 102, 60, 50, 90, 71, 67, 76, 82, 83, 48, 86, 90, 55, 51, 97, 98, 73, 58, 39, 61, 71, 88, 72, 63, 90, 71, 58, 68, 79, 52, 71, 69, 77, 81, 71, 93, 74, 60, 72, 62, 54, 80, 84, 56, 86, 78, 75, 79, 84, 72, 84, 100, 85, 63, 69, 78, 75, 76, 55, 88, 80, 75, 67, 84, 63, 82, 89, 84, 84, 77, 53, 44, 87, 65, 81, 62, 80, 75, 95, 67, 80, 67, 90, 74, 76, 75, 93, 49, 81, 58, 73, 83, 79, 86, 79, 91, 84, 52, 89, 62, 65, 87, 70, 78, 89, 84, 75, 81, 76, 90, 82, 76, 81, 70, 90, 91, 74, 95, 58, 87, 70, 70, 50, 72, 70, 83, 50, 64, 74, 60, 80, 51, 94, 94, 82, 59, 47, 71, 47, 67, 64, 50, 71, 68, 89, 71, 83, 93, 83, 57, 58, 82, 58, 82, 82, 57, 56, 67, 56, 69, 87, 58, 80, 41, 64, 84, 49, 81, 66, 53, 53, 76, 86, 63, 99, 66, 92, 63, 70, 71, 77, 81, 54, 37, 61, 54, 61, 75, 68, 69, 57, 87, 75, 55, 89, 84, 42, 89, 95, 80, 89, 78, 61, 92, 82, 101, 82, 95, 44, 65, 45, 76, 87, 79, 83, 64, 61, 75, 79, 62, 83, 75, 73, 75, 88, 75, 91, 68, 68, 69, 86, 78, 75, 84, 62, 45, 97, 59, 84, 83, 66, 85, 63, 74, 87, 72, 67, 53, 41, 85, 67, 81, 84, 95, 91, 79, 58, 64, 64, 70, 59, 69, 66, 92, 85, 79, 77, 65, 51, 62, 58, 65, 84, 70, 72, 45, 87, 94, 73, 87, 76, 63, 77, 44, 70, 64, 89, 55, 75, 85, 71, 76, 87, 71, 82, 59, 70, 80, 81, 75, 39, 89, 76, 85, 76, 66, 89, 67, 57, 82, 81, 79, 85, 89, 67, 85, 85, 74, 71, 82, 70, 70, 77, 78, 45, 87, 89, 68, 68, 82, 74, 95, 71, 100, 81, 65, 66, 85, 63, 93, 85, 66, 79, 58, 67, 55, 62, 49, 89, 79, 44, 84, 93, 33, 41, 60, 73, 87, 77, 66, 66, 93, 85, 79, 45, 54, 60, 79, 92, 84, 79, 71, 70, 77, 81, 66, 34, 65, 53, 72, 58, 74, 67, 41, 84, 87, 98, 68, 83, 71, 72, 60, 80, 74, 60, 65, 78, 85, 89, 39, 68, 92, 85, 93, 78, 84, 71, 65, 84, 74, 77, 47, 73, 60]"
Ulama,"[73, 71, 68, 71, 75, 54, 61, 78, 61, 86, 68, 83, 90, 98]"
Wrestling,"[57, 53, 82, 84, 57, 64, 0, 63]"
Biology,"[86, 88, 78]"
Television,"[53, 74, 73, 82, 79, 74, 77, 69, 78, 65, 53, 63, 93, 58, 88, 65, 73, 89, 53, 65, 91, 70, 82, 74, 59, 80, 71, 80, 86, 58, 80, 85, 75, 73, 78, 83, 82, 73, 80, 79, 94, 82, 76, 74, 36, 77, 76, 50, 62, 56, 89, 55, 72, 87, 65, 40, 75, 71, 88, 85, 66, 59, 82, 89, 81, 72, 92, 73, 75, 67, 89, 74, 73, 90, 79, 72, 80, 62, 82, 83, 83, 81, 86, 64, 85, 77, 88, 72, 76, 88, 56, 80, 69, 80, 30, 88, 97, 76, 84, 63, 73, 50, 77, 71, 89, 76, 73, 83, 80, 88, 83, 69, 95, 52, 82, 73, 73, 81, 66, 75, 80, 83, 76, 63, 82, 70, 83, 67, 65, 69, 41, 79, 58, 86, 81, 81, 48, 82, 73, 94, 71, 92, 87, 53, 49, 70, 53, 74, 82, 66, 78, 80]"
Film,"[53, 77, 74, 72, 73, 78, 81, 82, 79, 70, 74, 94, 77, 69, 86, 65, 78, 52, 53, 63, 93, 93, 73, 89, 85, 53, 65, 91, 70, 82, 74, 60, 57, 59, 80, 71, 58, 80, 77, 85, 86, 75, 76, 73, 78, 83, 67, 82, 93, 71, 92, 94, 82, 84, 50, 76, 74, 77, 62, 56, 89, 55, 57, 72, 73, 71, 90, 65, 40, 80, 75, 71, 88, 87, 66, 82, 89, 81, 72, 92, 87, 73, 67, 88, 69, 74, 83, 90, 79, 72, 80, 47, 88, 83, 49, 83, 81, 85, 88, 72, 76, 81, 37, 56, 69, 80, 93, 72, 88, 97, 64, 76, 61, 73, 90, 87, 67, 85, 77, 83, 68, 71, 55, 76, 90, 80, 73, 83, 80, 91, 88, 79, 68, 86, 69, 95, 52, 81, 66, 75, 67, 80, 82, 63, 82, 70, 83, 67, 69, 41, 49, 79, 81, 86, 40, 81, 82, 68, 70, 66, 72, 60, 73, 48, 89, 53, 49, 70, 92, 74, 82, 78, 78, 80]"
Daimyo,"[70, 37, 64, 76, 51, 71, 54, 42, 80, 67, 32, 41, 58, 39, 72, 70, 28, 40, 16, 30, 22, 49, 61, 54, 52, 18, 63, 27, 51, 57, 81, 75, 34, 68, 78, 58, 58, 63, 72, 75, 39, 47, 24, 68, 80, 41, 44, 55, 60, 46, 73, 71, 60, 40, 41, 63]"
Indian classical music,[70]
Minister (Christianity),"[84, 82, 73, 96, 76, 88, 91, 67, 44, 90, 67, 90, 67, 61, 78, 81, 80, 82, 81, 77, 75, 90, 89, 65, 75, 82, 85, 65, 65, 27, 85, 55, 79, 65, 55, 86, 78, 66, 62, 36, 56, 94, 58, 54, 73, 38, 64, 61, 33, 67, 68, 82, 97, 68, 71, 73, 62, 68, 64, 83, 85, 69, 82, 84, 91, 93, 62, 77, 74, 79, 56, 60, 89, 82, 79, 90, 94, 76, 89, 73, 91, 76, 88, 86, 76, 41, 67, 86, 62, 64, 79, 84, 37, 91, 66, 90, 83, 42, 66, 84]"
Presenter,"[59, 74, 81, 66, 90, 83, 69, 75, 68, 81, 48, 70, 59, 64, 65, 64, 69, 75, 71, 80, 79, 76, 94, 63, 98, 47, 84, 73, 62, 82, 45, 69, 70, 76, 67, 60, 87, 83, 41, 59, 92, 81, 79, 85, 72, 88, 74, 85, 73, 69, 53, 65, 70, 70, 84, 54, 73, 85, 79]"
Language interpretation,"[34, 88, 72, 65, 87, 85, 46, 91, 52, 72, 29, 50, 85, 63]"
